=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AIRLINK-MAY,127.62,127.0,140.38,115.0,139.7,8.74,"2,124,000"
ASL-MAY,9.00,9.15,9.6,9.15,9.58,0.58,"602,500"
AKBL-MAYB,39.02,38.03,40.95,37.1,40.95,1.11,"89,500"
PREMA-MAY,47.57,43.53,44.0,42.81,42.81,-4.76,"742,000"
ATRL-MAY,453.11,431.5,482.0,411.0,480.0,26.62,"753,500"
AVN-MAY,40.96,40.31,41.6,37.3,41.6,0.4,"550,000"
BOP-MAYB,8.73,8.79,9.15,8.52,9.15,0.35,"2,438,000"
BAFL-MAYB,67.05,69.0,70.55,69.0,70.55,3.5,"18,000"
BML-MAY,2.92,2.92,3.3,2.92,3.3,0.38,"27,500"
BIPL-MAYB,18.32,18.51,18.75,18.34,18.44,0.28,"8,500"
CEPB-MAY,20.66,20.89,20.89,20.4,20.83,0.17,"4,000"
CHCC-MAY,238.00,240.0,255.0,240.0,255.0,17.0,"7,000"
CPHL-MAY,67.76,65.1,65.5,60.98,64.51,-3.02,"2,371,500"
CNERGY-MAY,5.71,5.8,6.55,5.42,6.5,0.7,"5,006,000"
CSAP-MAYB,99.41,100.0,107.69,97.0,107.69,6.94,"38,500"
DGKC-JUN,122.08,125.0,128.0,125.0,128.0,5.92,"1,500"
DGKC-MAY,119.91,121.0,131.4,120.05,129.1,8.16,"2,716,500"
DCL-MAY,9.05,9.1,9.1,8.35,9.03,-0.11,"3,376,000"
DFML-MAY,28.77,26.15,27.74,25.89,27.15,-1.53,"3,251,500"
EFERT-MAYC,156.44,159.9,164.0,159.9,163.89,7.32,"117,500"
EPCL-MAY,27.11,26.53,28.1,25.0,28.1,0.9,"68,500"
FATIMA-MAYB,76.50,77.0,77.0,77.0,77.0,0.5,"1,000"
FCCL-MAY,39.71,39.51,42.9,38.92,42.84,2.01,"3,030,500"
FFC-MAYC,333.85,333.5,340.0,327.0,337.0,4.49,"43,500"
FFL-MAY,12.28,12.0,13.2,11.5,13.11,0.8,"2,928,500"
FABL-MAYC,42.99,43.0,44.88,42.8,44.3,1.17,"1,088,000"
FLYNG-JUN,32.07,33.0,34.1,33.0,34.1,1.63,"3,000"
FLYNG-MAY,31.62,30.11,34.78,29.5,34.69,2.55,"1,645,000"
FCEPL-MAYB,75.67,77.0,78.5,75.0,78.5,2.5,"22,500"
GAL-MAY,407.45,405.0,417.0,380.0,415.74,5.96,"1,766,000"
GHNI-MAY,650.01,610.0,664.9,590.0,641.0,-9.79,"756,500"
GCIL-MAY,14.40,14.5,14.55,14.0,14.5,0.12,"25,500"
GGL-MAY,10.30,10.51,11.3,10.5,11.0,0.74,"1,009,500"
GLAXO-MAYB,325.00,325.0,332.0,301.0,328.0,3.69,"13,000"
GATM-MAY,21.02,21.9,21.9,19.05,21.39,-0.1,"55,000"
HBL-JUNB,132.69,140.0,140.01,140.0,140.01,7.32,"1,000"
HBL-MAYC,130.55,130.0,142.95,130.0,140.5,10.54,"198,000"
